"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"429","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"430","Mt Maunganui, New Zealand",-37.6380218,176.1838841,-37.6580218,-37.6180218,176.1638841,176.2038841
"431","Hamilton, New Zealand",-37.7876214,175.2813186,-37.9476214,-37.6276214,175.1213186,175.4413186
"432","Rotorua, New Zealand",-38.1381493,176.252922,-38.2981493,-37.9781493,176.092922,176.412922
"433","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"434","Invercargill, New Zealand",-46.4121229,168.3483269,-46.5721229,-46.2521229,168.1883269,168.5083269
"435","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"436","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"437","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"438","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"439","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"440","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"441","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"442","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"443","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"444","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
